CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION
139|UNIVERSIDAD NACIONAL CIRO ALEGRÍA|PÚBLICO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD) DESFAVORABLE|0|LA LIBERTAD|SÁNCHEZ CARRIÓN|HUAMACHUCO|-7.812512994|-78.04537079
019|UNIVERSIDAD DE SAN MARTÍN DE PORRES|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTA ANITA|-12.04549813|-76.96765898
127|UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA|PÚBLICO|LICENCIA OTORGADA|6|JUNÍN|TARMA|TARMA|-11.42001656|-75.68925244
119|UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1151|-79.03194
126|UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS|PÚBLICO|LICENCIA OTORGADA|6|LORETO|ALTO AMAZONAS|YURIMAGUAS|-5.8974938|-76.1287268
079|UNIVERSIDAD ESAN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.10448969|-76.96196497
028|UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN|PÚBLICO|LICENCIA OTORGADA|6|LIMA|HUAURA|HUACHO|-11.12206837|-77.60676911
123|UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA|PÚBLICO|LICENCIA OTORGADA|6|AMAZONAS|BAGUA|BAGUA|-5.6324299|-78.534926
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.099867684|-79.0190815
045|UNIVERSIDAD SAN PEDRO|PRIVADO|LICENCIA DENEGADA|0|ÁNCASH|SANTA|CHIMBOTE|-9.076107052|-78.5944451
015|UNIVERSIDAD CATÓLICA DE SANTA MARÍA|PRIVADO|LICENCIA OTORGADA|6|AREQUIPA|AREQUIPA|AREQUIPA|-16.4061786|-71.5476298
116|UNIVERSIDAD SAN ANDRÉS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|INDEPENDENCIA|-11.990606|-77.0598606
020|UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LA MOLINA|-12.0716313|-76.9650529
128|UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA|PÚBLICO|LICENCIA OTORGADA|6|AYACUCHO|HUANTA|HUANTA|-12.9366062|-74.243975
136|UNIVERSIDAD MARÍA AUXILIADORA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SAN JUAN DE LURIGANCHO|-11.97832447|-77.01679995
072|UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LAMBAYEQUE|CHICLAYO|PIMENTEL|-6.795004696|-79.88523121
146|UNIVERSIDAD PRIVADA SISE S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|ATE|-12.0165774|-76.8901713
108|UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LA MOLINA|-12.0857224|-76.9086688
010|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|PÚBLICO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|EL TAMBO|-12.03251125|-75.23588361
097|ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LOS OLIVOS|-11.9615097|-77.0655921
089|UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS|PÚBLICO|LICENCIA OTORGADA|6|APURÍMAC|ANDAHUAYLAS|SAN JERÓNIMO|-13.6571898|-73.387931
142|UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CUSCO|LA CONVENCIÓN|SANTA ANA|-12.8604607|-72.6921444
135|UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AREQUIPA|AREQUIPA|AREQUIPA|-16.4083213|-71.5281451
138|UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO|PÚBLICO|LICENCIA OTORGADA|6|HUANCAVELICA|TAYACAJA|DANIEL HERNÁNDEZ|-12.36081924|-74.83797557
125|UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA|PÚBLICO|LICENCIA OTORGADA|6|CUSCO|LA CONVENCIÓN|SANTA ANA|-12.856872|-72.69172369
035|UNIVERSIDAD NACIONAL DE UCAYALI|PÚBLICO|LICENCIA OTORGADA|6|UCAYALI|CORONEL PORTILLO|CALLERIA|-8.3948987|-74.5776093
080|UNIVERSIDAD ANTONIO RUIZ DE MONTOYA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|PUEBLO LIBRE|-12.07015689|-77.05903276
003|UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO|PÚBLICO|LICENCIA OTORGADA|8|CUSCO|CUSCO|CUSCO|-13.52193|-71.9583208
129|UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO|PÚBLICO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|LIMA|LIMA|SAN JUAN DE LURIGANCHO|-11.9835577|-77.0095209
081|UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|JESÚS MARÍA|-12.0721316|-77.0420936
021|UNIVERSIDAD NACIONAL FEDERICO VILLARREAL|PÚBLICO|LICENCIA OTORGADA|6|LIMA|LIMA|LIMA|-12.0475424|-77.0405694
023|UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO|PÚBLICO|LICENCIA OTORGADA|6|HUÁNUCO|HUÁNUCO|PILLCO MARCA|-9.949638156|-76.25011821
132|UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|BARRANCO|-12.13510911|-77.0219533
143|UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|CHORRILLOS|-12.16619816|-77.02366819
041|UNIVERSIDAD NACIONAL DE TUMBES|PÚBLICO|LICENCIA OTORGADA|6|TUMBES|TUMBES|TUMBES|-3.585267|-80.443305
031|UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO|PÚBLICO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|LAMBAYEQUE|LAMBAYEQUE|LAMBAYEQUE|-6.707069414|-79.90669663
024|UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LINCE|-12.0828451|-77.0345819
002|UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA|PÚBLICO|LICENCIA OTORGADA|6|AYACUCHO|HUAMANGA|AYACUCHO|-13.1612654|-74.2257339
078|UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LIMA|-12.0630477|-77.0380365
053|UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE|PRIVADO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|ÁNCASH|SANTA|CHIMBOTE|-9.073847881|-78.59355615
007|UNIVERSIDAD NACIONAL AGRARIA LA MOLINA|PÚBLICO|LICENCIA OTORGADA|8|LIMA|LIMA|LA MOLINA|-12.07842882|-76.94659456
033|UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO|PÚBLICO|LICENCIA OTORGADA|6|ÁNCASH|HUARAZ|INDEPENDENCIA|-9.517640566|-77.52456668
